"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527800	"Des Plaines River at Russell, IL"	4	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	4	2	FALSE	0.65	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	4	3	TRUE	1	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	4	4	FALSE	0.85	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	4	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	5	1	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	5	2	FALSE	0.75	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	5	3	TRUE	0.9	3	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	5	4	FALSE	0.7	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	5	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	6	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	6	2	FALSE	0.75	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	6	3	TRUE	0.95	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	6	4	FALSE	0.8	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	6	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	7	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	7	2	FALSE	0.5	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	7	3	TRUE	0.7	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	7	4	FALSE	0.25	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	7	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	8	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	8	2	FALSE	0.55	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	8	3	FALSE	0.75	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	8	4	TRUE	0.95	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	8	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	9	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	9	2	FALSE	0.45	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	9	3	TRUE	1.1	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	9	4	FALSE	0.65	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	9	5	FALSE	0	-	-	No Observation	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	10	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	10	2	FALSE	0.7	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	10	3	TRUE	1.5	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	10	4	FALSE	0.8	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	10	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	11	1	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	11	2	FALSE	0.8	2	80	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	11	3	FALSE	0.65	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	11	4	TRUE	1.15	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	11	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	1	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	1	2	FALSE	0.52	4	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	1	3	TRUE	0.62	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
